mydate,cday,dday,ma
2021-06-10,34,0,32.57142857142857
2021-06-11,31,0,29.857142857142858
2021-06-12,25,0,28.857142857142858
2021-06-13,13,0,25.714285714285715
2021-06-14,0,0,25.714285714285715
2021-06-15,31,0,25.428571428571427
2021-06-16,31,0,23.571428571428573
2021-06-17,27,0,22.571428571428573
2021-06-18,23,1,21.428571428571427
2021-06-19,34,0,22.714285714285715
2021-06-20,21,0,23.857142857142858
2021-06-21,0,0,23.857142857142858
2021-06-22,19,0,22.142857142857142
2021-06-23,29,1,21.857142857142858
2021-06-24,24,0,21.428571428571427
2021-06-25,30,0,22.428571428571427
2021-06-26,28,1,21.571428571428573
2021-06-27,11,0,20.142857142857142
2021-06-28,0,0,20.142857142857142
2021-06-29,23,0,20.714285714285715
2021-06-30,14,0,18.571428571428573
2021-07-01,18,0,17.714285714285715
2021-07-02,23,1,16.714285714285715
2021-07-03,0,0,12.714285714285714
2021-07-04,0,0,11.142857142857142
2021-07-05,0,0,11.142857142857142
2021-07-06,36,0,13.0
2021-07-07,39,1,16.571428571428573
2021-07-08,27,0,17.857142857142858
2021-07-09,31,0,19.0
2021-07-10,0,0,19.0
2021-07-11,0,0,19.0
2021-07-12,50,0,26.142857142857142
2021-07-13,28,0,25.0
2021-07-14,25,0,23.0
2021-07-15,33,1,23.857142857142858
2021-07-16,28,0,23.428571428571427
2021-07-17,0,0,23.428571428571427
2021-07-18,0,0,23.428571428571427
2021-07-19,34,0,21.142857142857142
2021-07-20,85,0,29.285714285714285
2021-07-21,23,1,29.0
2021-07-22,36,0,29.428571428571427
2021-07-23,61,0,34.142857142857146
2021-07-24,0,0,34.142857142857146
2021-07-25,0,0,34.142857142857146
2021-07-26,28,0,33.285714285714285
2021-07-27,119,1,38.142857142857146
2021-07-28,64,0,44.0
2021-07-29,68,2,48.57142857142857
2021-07-30,50,1,47.0
2021-07-31,0,0,47.0
2021-08-01,0,0,47.0
2021-08-02,85,0,55.142857142857146
2021-08-03,164,0,61.57142857142857
2021-08-04,84,0,64.42857142857143
2021-08-05,82,0,66.42857142857143
2021-08-06,70,0,69.28571428571429
2021-08-07,0,0,69.28571428571429
2021-08-08,0,0,69.28571428571429
